English,Ukranian
station,станція
acting,діючий
accept,приймати
blow,удар
strange,дивний
saved,Збережено
Ivy or ivy,Плющ
conversation,розмова
plane,літак
mama,мама
yesterday,вчора
lied,збрехав
quick,швидкий
lately,за останній час
stuck,застряг
lovely,прекрасний
security,безпеку
report,доповідь
Barbara,Барбара
difference,різниця
rid,позбутися
tv or TV,телевізор або телевізор
Adam,Адам
store,магазин
she'd,вона
bag,сумка
Mike,Майк
bought,куплений
ball,м'яч
single,один
doubt,сумнів
listening,прослуховування
major,головний
walking,ходьба
cops,менти
blue,синій
deep,глибоко
dangerous,небезпечно
Buffy,Buffy
park or Park,парк або парк
sleeping,спальний
Chloe,Хлоя
Rafe,Рейф
shh,тсс
record,запис
lord,пан
Erica,вересові
moved,переїхав
join,приєднатися
key,ключ
captain,капітан
card,карта
crime,злочин
gentlemen,панове
willing,готові
window,вікно
return,повернення
walked,ходив
guilty,винний
Brenda,бренда
likes,сподобалося
fighting,боротьба
difficult,важко
soul,душа
joke,жарт
service,обслуговування
magic,магія
favorite,улюблений
uncle,дядько
promised,обіцяний
public,громадськості
bother,турбувати
island,острів
Jim,Джим
seriously,серйозно
cell,клітина
lead,вести
knowing,знання
broken,зламані
advice,рада
somehow,якось
paid,оплачений
Blair,Блер
losing,яка програла
push,поштовх
helped,допоміг
killing,вбивство
usually,зазвичай
earlier,раніше
boss,бос
Laura,Лаура
beginning,початок
liked,сподобався
innocent,невинний
doc,доктор
rules,правила
Elizabeth,Елізабет
Sabrina,Sabrina
summer or Summer,літо або літо
ex,колишній
cop,поліцейський
learned,вчений
thirty,тридцять
risk,ризик
letting,здача в оренду
Phillip,Phillip
speaking,кажучи
officer,співробітник
ridiculous,смішний
support,підтримка
afternoon,після полудня
Eric,Ерік
born,народився
dreams,мрії
apologize,вибачатися
seat,сидіння
nervous,нервове
across,через
song,пісня
Olivia,Олівія
charge,заряд
patient,пацієнт
Cassie,Кассі
boat,човен
how'd,як би
brain,мозок
hide,приховати
detective,детектив
Aaron,Аарон
Kendall,Kendall
general,загальний
Tom,Том
planning,планування
nine,дев'ять
huge,величезний
breakfast,сніданок
horrible,жахливий
age,вік
awful,жахливий
pleasure,задоволення
driving,водіння
hanging,висить
picked,вибрав
system,система
sell,продам
quit,вихід
apparently,мабуть
dying,вмираючий
notice,повідомлення
Josh,містифікувати
congratulations,вітаю
chief,головний
faith,віра
Simon,Саймон
gay,гей
ho or Ho,х або Хо
one's,СВОЮ
month,місяць
visit,візит
Hal,Хел
could've,міг би
c'mon,c'mon
aw,ав
Edmund,Едмунд
Brady,Brady
letter,лист
decide,вирішити
American,американський
double,подвійний
Troy,Трой
sad,сумний
press,прес
forward,вперед
fool,дурити
showed,показав
smell,запах
seemed,здавалося
Mary,Мері
spell,заклинання
Courtney,Courtney
memory,пам'ять
Mark or mark,Відзначити або знак
Alan,Алан
pictures,фотографії
Paris,Париж
slow,повільно
seconds,секунд
hungry,голодний
board,дошка
position,становище
hearing,слухання
kitchen,кухня
ma'am,пані
force,сила
fly,літати
during,під час
space,простір
should've,треба було
realized,зрозумів
experience,досвід
kick,удар
others,інші
grab,грейфер
mother's,мамин
P.,P.
Sharon,Sharon
discuss,обговорювати
third,третій
cat or Cat,кіт або кішка
fifty,п'ятдесят
responsible,відповідальність
Jennifer,Дженніфер
Philip,Філіп
miles or Miles,миль або Miles
fat,жир
reading,читання
idiot,ідіот
yep,да
rock,рок
rich,багаті
suddenly,раптом
agent,агент
bunch,гроно
destroy,знищити
bucks,бакси
track,відслідковувати
shoes,взуття
scene,сцена
peace,мир
arms,зброю
demon,демон
Diane,Діана
Bridget,Бріджит
Brad,штифтик
low,низький
Livvie,Livvie
consider,розглядати
papers,документи
medical,медична
incredible,неймовірний
witch,відьма
er,ер
drunk,п'яний
attorney,адвокат
Charlie,Чарлі
tells,говорить
knock,постукати
Karen,Карен
ways,шляху
eh,а
belle or Belle,бель або Belle
cash or Cash,готівкові або готівку
gives,дає
department,відділ
nose,ніс
Skye,Skye
turns,витки
keeps,тримає
beer,пиво
jealous,ревнивий
drug,ліки
Molly,повія
sooner,рано
cares,турботи
plenty,багато
extra,додатковий
tea,чай
won,вона
attack,атака
ground,земля
whose,чиї
outta,забиратися
Kyle,рукав моря
L.,L.
